--------- beginning of main
03-03 05:14:10.651 W/auditd  (  336): type=2000 audit(0.0:1): initialized
--------- beginning of system
03-03 05:14:13.488 I/vold    (  339): Vold 3.0 (the awakening) firing up
03-03 05:14:13.488 V/vold    (  339): Detected support for: ext4 vfat
03-03 05:14:13.751 I/rmt_storage(  373): Shared memory initialised successfully.
03-03 05:14:13.751 I/lowmemorykiller(  370): Using in-kernel low memory killer interface
03-03 05:14:13.764 I/rmt_storage(  373): No EBR found
03-03 05:14:13.764 I/rmt_storage(  373): Error (-1) parsing MBR partitions
03-03 05:14:13.764 I/rmt_storage(  373): Registering modemst1: 0x4a /boot/modem_fs1
03-03 05:14:13.764 I/rmt_storage(  373): Registering modemst2: 0x4b /boot/modem_fs2
03-03 05:14:13.764 I/rmt_storage(  373): Registering fsc: 0xff /boot/modem_fsc
03-03 05:14:13.764 I/rmt_storage(  373): Registering fsg: 0x58 /boot/modem_fsg
03-03 05:14:13.764 I/rmt_storage(  373): 4 GPT partitions found
03-03 05:14:13.764 I/rmt_storage(  373): Capset success!
03-03 05:14:13.774 I/MSM-irqbalance(  376): msm-irq_balance (1.3) initialized
03-03 05:14:13.774 I/MSM-irqbalance(  376): Configuration
03-03 05:14:13.774 I/MSM-irqbalance(  376): Rate: 0.2 Hz
03-03 05:14:13.774 I/MSM-irqbalance(  376): Decay Factor: 75.0
03-03 05:14:13.774 I/MSM-irqbalance(  376): Balancing Factor: 0.1
03-03 05:14:13.774 I/MSM-irqbalance(  376): Debug Log: OFF
03-03 05:14:13.774 I/MSM-irqbalance(  376): Cfg file: /vendor/etc/msm_irqbalance.conf
03-03 05:14:13.775 I/MSM-irqbalance(  376): CPU PRIO: CPU0: 1 CPU1: 1 CPU2: 1 CPU3: 1 CPU4: 0 CPU5: 0
03-03 05:14:13.775 I/MSM-irqbalance(  376): Ignored IRQs: 20 40 200 203 155 157
03-03 05:14:13.783 D/QSEECOMD: (  375): qseecom listener services process entry PPID = 1
03-03 05:14:13.783 E/QSEECOMD: (  375): Listener: index = 0, hierarchy = 0
03-03 05:14:13.785 D/QSEECOMD: (  375): Init dlopen(librpmb.so, RTLD_NOW) succeeds
03-03 05:14:13.785 D/QSEECOMD: (  375): Init::Init dlsym(g_FSHandle rpmb_init_service) succeeds
03-03 05:14:13.786 I/rpmb_emmc(  375): RPMB Mult = 16384, Rel_sec_cnt = 1
03-03 05:14:13.786 E/DrmLibRpmb(  375): rpmb_init succeeded! with ret = 0
03-03 05:14:13.786 D/QSEECOMD: (  375): Init rpmb_init_service ret = 0
03-03 05:14:13.786 D/QSEECOMD: (  375): RPMB system services: init (Listener ID = 8192)
03-03 05:14:13.786 E/QSEECOMD: (  375): Listener: index = 1, hierarchy = 0
03-03 05:14:13.795 I/libmdmdetect(  374): ESOC framework not supported
03-03 05:14:13.795 I/libmdmdetect(  374): Found internal modem: modem
03-03 05:14:13.797 I/PerMgrSrv(  374): Peripheral Mananager service start
03-03 05:14:13.797 I/PerMgrSrv(  374): power-off timeout 500,ms; event-ack timeout 200,ms; debug-mode false
03-03 05:14:13.797 I/PerMgrSrv(  374): Statistics for : modem
03-03 05:14:13.797 I/PerMgrSrv(  374): modem: Current State : is off-line
03-03 05:14:13.797 I/PerMgrSrv(  374): modem: Voter/Listener count : 0/0
03-03 05:14:13.797 I/PerMgrSrv(  374): modem: Power on count : 0
03-03 05:14:13.797 I/PerMgrSrv(  374): modem: Power off count: 0
03-03 05:14:13.797 I/PerMgrSrv(  374): modem: Client list:
03-03 05:14:13.797 I/PerMgrSrv(  374): QMI service start
03-03 05:14:13.813 D/QSEECOMD: (  375): Init dlopen(libssd.so, RTLD_NOW) succeeds
03-03 05:14:13.813 D/QSEECOMD: (  375): Init::Init dlsym(g_FSHandle ssd_init_service) succeeds
03-03 05:14:13.813 E/SSD     (  375): ssd_init_service succeeded!
03-03 05:14:13.813 D/QSEECOMD: (  375): Init ssd_init_service ret = 0
03-03 05:14:13.813 D/QSEECOMD: (  375): SSD system services: init (Listener ID = 12288)
03-03 05:14:13.813 E/QSEECOMD: (  375): Listener: index = 2, hierarchy = 0
03-03 05:14:13.813 E/QSEECOMD: (  375): Init dlopen(libsecureui.so, RLTD_NOW) is failed....
03-03 05:14:13.813 D/QSEECOMD: (  375): SEC_UI_INIT failed, shall not start secure ui listener
03-03 05:14:13.813 E/QSEECOMD: (  375): Listener: index = 5, hierarchy = 0
03-03 05:14:13.813 E/QSEECOMD: (  375): Init dlopen(libmdtp.so, RLTD_NOW) is failed....
03-03 05:14:13.813 D/QSEECOMD: (  375): ERROR: MDTP_INIT failed, shall not start MDTP listener
03-03 05:14:13.814 D/QSEECOMD: (  375): Parent qseecom daemon process paused!!
03-03 05:14:13.814 D/QSEECOMD: (  391): qseecom listener service threads starting!!!
03-03 05:14:13.814 D/QSEECOMD: (  391): Total listener services to start = 7
03-03 05:14:13.814 E/QSEECOMD: (  391): Listener: index = 0, hierarchy = 1
03-03 05:14:13.814 D/QSEECOMD: (  391): Init dlopen(librpmb.so, RTLD_NOW) succeeds
03-03 05:14:13.814 D/QSEECOMD: (  391): Init::Init dlsym(g_FSHandle rpmb_start) succeeds
03-03 05:14:13.814 D/QSEECOMAPI: (  391): QSEECom_register_listener 8192 sb_length = 0x5000
03-03 05:14:13.816 D/QSEECOMD: (  391): Init rpmb_start ret = 0
03-03 05:14:13.816 D/QSEECOMD: (  391): RPMB system services: Started (Listener ID = 8192)
03-03 05:14:13.816 E/QSEECOMD: (  391): Listener: index = 1, hierarchy = 1
03-03 05:14:13.816 D/QSEECOMD: (  391): Init dlopen(libssd.so, RTLD_NOW) succeeds
03-03 05:14:13.816 D/QSEECOMD: (  391): Init::Init dlsym(g_FSHandle ssd_start) succeeds
03-03 05:14:13.816 D/QSEECOMAPI: (  391): QSEECom_register_listener 12288 sb_length = 0x5000
03-03 05:14:13.819 D/QSEECOMD: (  391): Init ssd_start ret = 0
03-03 05:14:13.819 D/QSEECOMD: (  391): SSD system services: Started (Listener ID = 12288)
03-03 05:14:13.819 E/QSEECOMD: (  391): Listener: index = 2, hierarchy = 1
03-03 05:14:13.819 E/QSEECOMD: (  391): Init dlopen(libsecureui.so, RLTD_NOW) is failed....
03-03 05:14:13.819 E/QSEECOMD: (  391): Listener: index = 3, hierarchy = 1
03-03 05:14:13.821 D/QSEECOMD: (  391): Init dlopen(libdrmtime.so, RTLD_NOW) succeeds
03-03 05:14:13.821 D/QSEECOMD: (  391): Init::Init dlsym(g_FSHandle atime_start) succeeds
03-03 05:14:13.821 D/DrmLibTime(  391): QSEE Time Listener: atime_start
03-03 05:14:13.821 D/QSEECOMAPI: (  391): QSEECom_register_listener 11 sb_length = 0x5000
03-03 05:14:13.822 D/DrmLibTime(  391): registering fs service to QSEECom is done!
03-03 05:14:13.822 D/DrmLibTime(  391): begin to create a thread!
03-03 05:14:13.822 D/DrmLibTime(  391): Creating a pthread in atime_start is done! return 0
03-03 05:14:13.822 D/QSEECOMD: (  391): Init atime_start ret = 0
03-03 05:14:13.822 D/QSEECOMD: (  391): time services: Started (Listener ID = 11)
