--------- beginning of main
03-03 07:01:51.590 W/auditd  (  335): type=2000 audit(0.0:1): initialized
--------- beginning of system
03-03 07:01:54.521 I/vold    (  338): Vold 3.0 (the awakening) firing up
03-03 07:01:54.521 V/vold    (  338): Detected support for: ext4 vfat
03-03 07:01:54.778 I/rmt_storage(  369): Shared memory initialised successfully.
03-03 07:01:54.781 D/QSEECOMD: (  371): qseecom listener services process entry PPID = 1
03-03 07:01:54.781 E/QSEECOMD: (  371): Listener: index = 0, hierarchy = 0
03-03 07:01:54.784 I/rmt_storage(  369): No EBR found
03-03 07:01:54.784 I/rmt_storage(  369): Error (-1) parsing MBR partitions
03-03 07:01:54.784 I/rmt_storage(  369): Registering modemst1: 0x4a /boot/modem_fs1
03-03 07:01:54.784 I/rmt_storage(  369): Registering modemst2: 0x4b /boot/modem_fs2
03-03 07:01:54.784 I/rmt_storage(  369): Registering fsc: 0xff /boot/modem_fsc
03-03 07:01:54.784 I/rmt_storage(  369): Registering fsg: 0x58 /boot/modem_fsg
03-03 07:01:54.785 I/rmt_storage(  369): 4 GPT partitions found
03-03 07:01:54.785 I/rmt_storage(  369): Capset success!
03-03 07:01:54.787 I/lowmemorykiller(  366): Using in-kernel low memory killer interface
03-03 07:01:54.788 D/QSEECOMD: (  371): Init dlopen(librpmb.so, RTLD_NOW) succeeds
03-03 07:01:54.788 D/QSEECOMD: (  371): Init::Init dlsym(g_FSHandle rpmb_init_service) succeeds
03-03 07:01:54.788 I/rpmb_emmc(  371): RPMB Mult = 16384, Rel_sec_cnt = 1
03-03 07:01:54.788 E/DrmLibRpmb(  371): rpmb_init succeeded! with ret = 0
03-03 07:01:54.788 D/QSEECOMD: (  371): Init rpmb_init_service ret = 0
03-03 07:01:54.788 D/QSEECOMD: (  371): RPMB system services: init (Listener ID = 8192)
03-03 07:01:54.788 E/QSEECOMD: (  371): Listener: index = 1, hierarchy = 0
03-03 07:01:54.808 I/MSM-irqbalance(  372): msm-irq_balance (1.3) initialized
03-03 07:01:54.808 I/MSM-irqbalance(  372): Configuration
03-03 07:01:54.808 I/MSM-irqbalance(  372): Rate: 0.2 Hz
03-03 07:01:54.808 I/MSM-irqbalance(  372): Decay Factor: 75.0
03-03 07:01:54.808 I/MSM-irqbalance(  372): Balancing Factor: 0.1
03-03 07:01:54.808 I/MSM-irqbalance(  372): Debug Log: OFF
03-03 07:01:54.809 I/MSM-irqbalance(  372): Cfg file: /vendor/etc/msm_irqbalance.conf
03-03 07:01:54.809 I/MSM-irqbalance(  372): CPU PRIO: CPU0: 1 CPU1: 1 CPU2: 1 CPU3: 1 CPU4: 0 CPU5: 0 
03-03 07:01:54.809 I/MSM-irqbalance(  372): Ignored IRQs: 20 40 200 203 155 157 
03-03 07:01:54.811 D/QSEECOMD: (  371): Init dlopen(libssd.so, RTLD_NOW) succeeds
03-03 07:01:54.811 D/QSEECOMD: (  371): Init::Init dlsym(g_FSHandle ssd_init_service) succeeds
03-03 07:01:54.811 E/SSD     (  371): ssd_init_service succeeded!
03-03 07:01:54.811 D/QSEECOMD: (  371): Init ssd_init_service ret = 0
03-03 07:01:54.811 D/QSEECOMD: (  371): SSD system services: init (Listener ID = 12288)
03-03 07:01:54.811 E/QSEECOMD: (  371): Listener: index = 2, hierarchy = 0
03-03 07:01:54.812 E/QSEECOMD: (  371): Init dlopen(libsecureui.so, RLTD_NOW) is failed....
03-03 07:01:54.812 D/QSEECOMD: (  371): SEC_UI_INIT failed, shall not start secure ui listener
03-03 07:01:54.812 E/QSEECOMD: (  371): Listener: index = 5, hierarchy = 0
03-03 07:01:54.812 E/QSEECOMD: (  371): Init dlopen(libmdtp.so, RLTD_NOW) is failed....
03-03 07:01:54.812 D/QSEECOMD: (  371): ERROR: MDTP_INIT failed, shall not start MDTP listener
03-03 07:01:54.812 D/QSEECOMD: (  371): Parent qseecom daemon process paused!! 
03-03 07:01:54.812 D/QSEECOMD: (  383): qseecom listener service threads starting!!! 
03-03 07:01:54.812 D/QSEECOMD: (  383): Total listener services to start = 7
03-03 07:01:54.812 E/QSEECOMD: (  383): Listener: index = 0, hierarchy = 1
03-03 07:01:54.812 D/QSEECOMD: (  383): Init dlopen(librpmb.so, RTLD_NOW) succeeds
03-03 07:01:54.812 D/QSEECOMD: (  383): Init::Init dlsym(g_FSHandle rpmb_start) succeeds
03-03 07:01:54.812 D/QSEECOMAPI: (  383): QSEECom_register_listener 8192 sb_length = 0x5000
03-03 07:01:54.813 D/QSEECOMD: (  383): Init rpmb_start ret = 0
